group	device	workload	op	p99 avg	p99.99 avg	qps avg	p99 std	p99.99 std	qps std
tuned	SATA HDD	c	read	55.45	21235.64	13975.0			
tuned	SATA HDD	d	insert	31.55	105.57	63707.0			
tuned	SATA HDD	d	read	21.92	12327.53	63707.0			
tuned	SATA HDD	e	insert	19.78	401.35	18862.0			
tuned	SATA HDD	e	seek	108.5	167.38	18862.0			
tuned	SATA HDD	f	read	25947.25	434873.27	925.0			
tuned	SATA HDD	f	update	26080.96	482144.3	925.0			
tuned	SATA SSD	a	read	37.42	14359.54	82711.0			
tuned	SATA SSD	a	update	19.75	1069.92	82711.0			
tuned	SATA SSD	b	read	13.82	202.77	174456.0			
tuned	SATA SSD	b	update	12.43	61.43	174456.0			
tuned	SATA SSD	c	read	14.43	221.47	130421.0			
tuned	SATA SSD	d	insert	12.4	55.69	216654.0			
tuned	SATA SSD	d	read	12.34	232.15	216654.0			
tuned	SATA SSD	e	insert	20.74	2111.16	18345.0			
tuned	SATA SSD	e	seek	108.96	862.76	18345.0			
tuned	SATA SSD	f	read	29.57	9004.03	72823.0			
tuned	SATA SSD	f	update	44.2	9089.96	72823.0			
